student_id,name,subject,semester,attendance_pct,midterm,final,grade,notes
S091,Student 91,Statistics,2026-1,92.2,97.0,96.0,A,Excellent
S092,Student 92,Machine Learning,2026-1,95.3,95.0,64.0,C,Good
S093,Student 93,Machine Learning,2026-1,61.3,69.0,56.0,D,Needs help
S094,Student 94,Statistics,2026-1,79.9,41.0,42.0,F,Excellent
S095,Student 95,Machine Learning,2026-1,59.9,75.0,40.0,F,Good
S096,Student 96,Statistics,2026-1,85.3,73.0,62.0,D,Needs help
S097,Student 97,Mathematics,2026-1,67.7,48.0,,C,nan
S098,Student 98,Programming,2026-1,84.7,78.0,71.0,,Good
S099,Student 99,Programming,2026-1,87.7,90.0,,,Needs help
S100,Student 100,Mathematics,2026-1,89.6,46.0,46.0,F,Needs help
S101,Student 101,Machine Learning,2026-1,59.8,83.0,45.0,,Needs help
S102,Student 102,Mathematics,2026-1,96.2,48.0,90.0,D,nan
S103,Student 103,Machine Learning,2026-1,65.4,84.0,46.0,D,Excellent
S104,Student 104,Mathematics,2026-1,56.7,65.0,43.0,F,Good
S105,Student 105,Machine Learning,2026-1,,40.0,64.0,F,nan
S106,Student 106,Machine Learning,2026-1,71.7,97.0,95.0,A,nan
S107,Student 107,Machine Learning,2026-1,92.3,49.0,81.0,D,Good
S108,Student 108,Programming,2026-1,91.4,75.0,45.0,F,nan
S109,Student 109,Statistics,2026-1,69.3,50.0,90.0,D,Good
S110,Student 110,Programming,2026-1,97.9,95.0,90.0,A,nan
S111,Student 111,Statistics,2026-1,68.1,84.0,88.0,B,Excellent
S112,Student 112,Machine Learning,2026-1,78.2,88.0,94.0,A,Excellent
S113,Student 113,Programming,2026-1,66.5,65.0,54.0,F,Good
S114,Student 114,Statistics,2026-1,97.1,68.0,98.0,B,nan
S115,Student 115,Programming,2026-1,62.4,78.0,59.0,D,Good
S116,Student 116,Programming,2026-1,57.0,87.0,88.0,B,Good
S117,Student 117,Mathematics,2026-1,74.6,90.0,74.0,B,Good
S118,Student 118,Mathematics,2026-1,,41.0,86.0,D,Excellent
S119,Student 119,Mathematics,2026-1,95.1,79.0,77.0,C,Good
S120,Student 120,Mathematics,2026-1,88.7,46.0,78.0,D,nan
S001,Student 01,Mathematics,2026-1,,90.0,57.0,C,Excellent
S002,Student 02,Machine Learning,2026-1,76.2,93.0,89.0,A,Good
